House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32cece,The_Kings,2/10/1603 8:51 PM,6/5/1611 11:44 PM,0,79.72455,19.885265,92.698917,22.395136,8.059939,0,2,2,2,0,0,140,small land,The Mountains,,29.921162
6e32cf20,The_Kings,2/26/1600 3:13 PM,3/10/1610 2:23 PM,0,145.034612,25.106037,141.942752,24.82466,21.44816,0,4,3,4,0,0,135,small land,The Mountains,1,36.084848
6e32cf76,The_Kings,9/19/1606 11:55 PM,7/26/1608 5:17 AM,0,54.645921,87.174747,16.476015,59.149911,2.980832,0,2,2,3,0,1,73,small land,Cursed Land,2,98.032248
6e32cf7c,The_Kings,9/10/1602 1:18 AM,10/10/1612 2:47 PM,0,151.105728,111.965941,99.671185,72.036244,9.879558,0,3,2,2,0,0,48,small land,Servant's Premises,1,122.889439
6e32cf80,The_Kings,3/15/1605 11:16 PM,1/19/1612 7:39 AM,0,11.666815,27.953048,50.869864,7.977065,13.758185,0,3,4,3,0,0,132,small land,The Mountains,,38.774105
6e32cfa3,The_Kings,12/28/1604 9:11 AM,10/25/1612 11:27 AM,0,62.104754,107.687755,56.15136,122.390194,77.656929,,3,4,3,0,,52,small land,The Mountains,1,118.003414
6e32cfb9,The_Kings,1/13/1600 12:32 AM,10/2/1610 1:23 PM,0,26.174476,4.460661,12.904976,123.568064,43.261003,0,3,3,2,0,0,156,huge land,The Mountains,1,15.207348
6e32d01c,The_Kings,11/1/1606 6:22 AM,11/13/1607 5:56 PM,0,29.348649,33.914079,26.547489,129.504031,21.44157,0,3,2,4,0,0,126,small land,The Mountains,1,44.651891
6e32d026,The_Kings,1/8/1600 1:38 PM,11/15/1610 2:28 AM,0,21.926644,113.152269,72.557943,31.530238,17.352285,0,3,3,4,0,0,47,huge land,,1,123.253774
6e32d043,The_Kings,9/6/1603 4:33 AM,7/9/1610 1:41 AM,0,107.670121,25.960131,87.189539,135.664742,12.397643,,3,2,4,0,0,134,small land,Cursed Land,1,36.170315
