House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house,Golden Grains
6e32cec0,Bob,4/21/1602 12:41 AM,7/9/1609 1:11 AM,0,138.600639,0.256239,69.486467,14.394903,63.109038,0,3,4,,0,0,160,small land,King's Landing,1,10.505662,1470912
6e32ceda,Bob,10/23/1603 11:14 PM,10/21/1611 7:40 AM,0,10.998322,122.930753,63.794375,53.019891,17.045949,0,4,3,3,0,0,37,huge land,The Mountains,1,132.934312,1052137
6e32cf09,Bob,3/18/1603 3:53 AM,5/17/1610 9:36 PM,0,52.819705,80.970959,96.656914,70.965631,6.548119,0,2,2,3,0,0,79,small land,Cursed Land,1,91.425357,1017577
6e32cfa9,Bob,8/18/1606 12:23 AM,1/20/1608 10:45 AM,0,82.283966,4.331436,29.043012,119.126593,24.298255,0,,2,3,0,1,156,small land,Cursed Land,2,14.695102,1409057
6e32cfb7,Bob,9/11/1603 11:53 AM,5/20/1611 4:49 PM,0,34.524141,,6.740951,222.341302,1.821655,0,4,2,4,0,0,74,small land,The Mountains,1, ,1317434
6e32cfd5,Bob,6/13/1601 1:25 PM,6/19/1611 4:13 AM,,38.877415,25.065928,,76.196189,1.257721,0,3,3,3,0,0,135,huge land,Servant's Premises,,35.568437,1333643
6e32d0c0,Bob,1/19/1606 12:50 PM,10/27/1610 9:13 PM,0,35.988844,4.570255,67.579542,157.877738,15.756025,0,2,3,4,0,0,155,small land,The Mountains,1,15.068711,1462503
6e32d0f3,Bob,11/22/1606 11:22 PM,1/13/1611 11:32 AM,0,83.914728,107.184545,57.067604,147.898157,55.592034,0,2,4,4,0,1,53,small land,The Mountains,,117.410316,930118
6e32d166,Bob,1/7/1602 3:34 AM,1/2/1607 3:19 PM,0,64.288283,101.610694,,204.669501,60.009117,0,2,4,3,0,0,58,small land,The Mountains,1,112.494554,1014617
6e32d234,Bob,6/25/1605 8:26 AM,3/11/1608 8:21 PM,0,59.504656,29.541134,3.36696,63.397907,21.391704,0,4,3,3,0,0,130,huge land,King's Landing,1,40.454345,1574362
6e32d244,Bob,3/22/1604 2:45 AM,10/8/1610 6:15 AM,0,74.890453,17.524012,,86.880636,77.993602,0,,4,3,0,0,142,small land,King's Landing,1,27.65599,1408207
6e32d266,Bob,3/21/1603 7:45 AM,9/11/1611 1:14 PM,0,1.624838,55.12687,,163.885,16.102894,1,,4,4,0,1,105,small land,King's Landing,2,65.487434,1294734
6e32d280,Bob,9/12/1601 6:51 AM,3/3/1608 5:42 PM,0,13.14006,23.920629,7.363083,154.780872,15.867466,0,3,4,2,0,0,136,small land,King's Landing,1,34.604391,1525016
6e32d28a,Bob,2/15/1606 8:48 AM,1/11/1608 9:13 AM,1,25.738221,67.262718,31.8348,84.042989,7.106701,0,4,3,4,1,0,93,no land,King's Landing,1,77.441446,1382287
6e32d2e0,Bob,9/19/1604 5:28 PM,10/19/1608 3:28 PM,0,86.072564,85.923206,85.563521,146.862456,12.638273,0,2,2,3,0,1,74,small land,Cursed Land,,96.73714,913124
6e32d315,Bob,3/7/1602 2:21 AM,5/18/1607 11:32 AM,0,51.245386,22.260774,9.938782,96.415385,5.789836,0,,,3,0,0,138,huge land,,,33.157025,1397904
