House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32cec0,Bob,4/21/1602 12:41 AM,7/9/1609 1:11 AM,0,138.600639,0.256239,69.486467,14.394903,63.109038,0,3,4,,0,0,160,small land,King's Landing,1,10.505662
6e32ceda,Bob,10/23/1603 11:14 PM,10/21/1611 7:40 AM,0,10.998322,122.930753,63.794375,53.019891,17.045949,0,4,3,3,0,0,37,huge land,The Mountains,1,132.934312
6e32cf09,Bob,3/18/1603 3:53 AM,5/17/1610 9:36 PM,0,52.819705,80.970959,96.656914,70.965631,6.548119,0,2,2,3,0,0,79,small land,Cursed Land,1,91.425357
6e32cfa9,Bob,8/18/1606 12:23 AM,1/20/1608 10:45 AM,0,82.283966,4.331436,29.043012,119.126593,24.298255,0,,2,3,0,1,156,small land,Cursed Land,2,14.695102
6e32cfb7,Bob,9/11/1603 11:53 AM,5/20/1611 4:49 PM,0,34.524141,,6.740951,222.341302,1.821655,0,4,2,4,0,0,74,small land,The Mountains,1, 
6e32cfd5,Bob,6/13/1601 1:25 PM,6/19/1611 4:13 AM,,38.877415,25.065928,,76.196189,1.257721,0,3,3,3,0,0,135,huge land,Servant's Premises,,35.568437
6e32d0c0,Bob,1/19/1606 12:50 PM,10/27/1610 9:13 PM,0,35.988844,4.570255,67.579542,157.877738,15.756025,0,2,3,4,0,0,155,small land,The Mountains,1,15.068711
6e32d0f3,Bob,11/22/1606 11:22 PM,1/13/1611 11:32 AM,0,83.914728,107.184545,57.067604,147.898157,55.592034,0,2,4,4,0,1,53,small land,The Mountains,,117.410316
6e32d166,Bob,1/7/1602 3:34 AM,1/2/1607 3:19 PM,0,64.288283,101.610694,,204.669501,60.009117,0,2,4,3,0,0,58,small land,The Mountains,1,112.494554
6e32d234,Bob,6/25/1605 8:26 AM,3/11/1608 8:21 PM,0,59.504656,29.541134,3.36696,63.397907,21.391704,0,4,3,3,0,0,130,huge land,King's Landing,1,40.454345
6e32d244,Bob,3/22/1604 2:45 AM,10/8/1610 6:15 AM,0,74.890453,17.524012,,86.880636,77.993602,0,,4,3,0,0,142,small land,King's Landing,1,27.65599
6e32d266,Bob,3/21/1603 7:45 AM,9/11/1611 1:14 PM,0,1.624838,55.12687,,163.885,16.102894,1,,4,4,0,1,105,small land,King's Landing,2,65.487434
6e32d280,Bob,9/12/1601 6:51 AM,3/3/1608 5:42 PM,0,13.14006,23.920629,7.363083,154.780872,15.867466,0,3,4,2,0,0,136,small land,King's Landing,1,34.604391
6e32d28a,Bob,2/15/1606 8:48 AM,1/11/1608 9:13 AM,1,25.738221,67.262718,31.8348,84.042989,7.106701,0,4,3,4,1,0,93,no land,King's Landing,1,77.441446
6e32d2e0,Bob,9/19/1604 5:28 PM,10/19/1608 3:28 PM,0,86.072564,85.923206,85.563521,146.862456,12.638273,0,2,2,3,0,1,74,small land,Cursed Land,,96.73714
6e32d315,Bob,3/7/1602 2:21 AM,5/18/1607 11:32 AM,0,51.245386,22.260774,9.938782,96.415385,5.789836,0,,,3,0,0,138,huge land,,,33.157025
6e32d328,Bob,12/6/1606 11:19 PM,10/10/1609 12:11 PM,0,34.410733,16.638938,,50.512115,15.00942,1,2,4,4,0,1,143,small land,The Mountains,2,27.320449
6e32d349,Bob,11/3/1602 2:22 PM,8/2/1609 1:28 PM,1,67.171839,73.733494,22.279648,104.567561,43.619874,0,3,2,3,1,0,86,no land,The Mountains,,84.146593
6e32d3a6,Bob,12/15/1606 9:36 PM,9/7/1609 12:40 PM,0,61.21246,58.817801,5.643314,160.459915,41.915869,0,2,4,2,0,0,101,small land,The Mountains,1,69.088692
6e32d3ad,Bob,2/5/1603 6:27 PM,9/15/1610 10:47 AM,0,8.423696,3.031959,31.432316,10.970801,21.169758,1,2,3,2,0,0,157,small land,The Mountains,1,13.114153
6e32d3f6,Bob,4/10/1604 6:55 PM,1/18/1611 3:36 PM,0,,26.82009,34.978795,91.361455,41.862843,0,3,2,4,0,0,133,small land,The Mountains,,37.442226
6e32d414,Bob,8/9/1601 4:52 PM,5/12/1607 5:32 PM,0,57.7146,6.002568,47.348837,32.106155,2.87067,0,4,3,,0,0,154,small land,The Mountains,1,16.567206
6e32d456,Bob,8/7/1603 12:42 PM,12/20/1607 10:42 AM,0,15.523291,153.3606,32.174217,,33.493852,0,,4,4,0,1,7,huge land,King's Landing,1,163.658437
6e32d460,Bob,8/24/1603 3:24 PM,11/28/1612 11:28 PM,,,8.760628,124.305272,30.021297,15.976977,1,3,2,,0,0,151,small land,Cursed Land,1,19.113862
6e32d46a,Bob,4/8/1603 5:31 AM,12/5/1612 5:42 AM,0,42.570615,5.4904,,129.093289,69.237309,0,2,2,3,0,0,155,small land,Servant's Premises,1,16.031784
