House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32cedd,Bright_Brothers,6/25/1601 9:41 AM,11/1/1607 9:54 AM,0,60.265361,2.809867,23.701329,89.658984,36.93498,,3,3,3,0,0,157,small land,Servant's Premises,1,13.188134
6e32cf10,Bright_Brothers,8/1/1600 3:39 AM,9/11/1609 1:36 PM,0,31.038516,0.531688,115.459079,117.597482,53.012429,0,3,4,3,0,0,159,small land,Cursed Land,1,11.402158
6e32cf3b,Bright_Brothers,7/18/1601 4:23 AM,11/26/1611 11:21 PM,0,,31.803728,76.911213,67.482017,27.337864,0,3,2,4,0,0,128,small land,,1,42.522518
6e32cf5f,Bright_Brothers,5/5/1603 2:43 PM,10/18/1608 6:32 PM,0,8.938509,98.652182,70.194408,84.156413,60.819794,1,2,3,3,0,0,61,huge land,Servant's Premises,1,109.422107
6e32cfb1,Bright_Brothers,3/4/1604 8:27 AM,3/6/1609 8:21 AM,0,34.600947,35.698995,110.500053,86.664647,41.447449,0,3,4,4,0,0,124,small land,King's Landing,,46.459145
6e32cfe7,Bright_Brothers,6/22/1600 9:12 PM,2/23/1608 3:52 AM,,60.881088,11.632695,44.475839,107.611778,15.773875,0,4,3,2,0,1,148,small land,The Mountains,1,21.737822
6e32d039,Bright_Brothers,1/18/1602 6:11 AM,11/15/1607 12:34 PM,0,47.13049,43.935515,89.749169,28.556451,17.897503,0,,2,,0,0,116,huge land,Cursed Land,1,54.744624
6e32d045,Bright_Brothers,8/25/1605 5:12 PM,7/26/1612 10:57 AM,,19.038547,7.477386,19.373641,2.866873,11.659058,0,4,4,4,0,0,153,huge land,The Mountains,1,18.086383
6e32d077,Bright_Brothers,1/26/1605 5:37 PM,4/22/1609 4:16 PM,,,35.647738,19.902401,114.893095,38.737328,0,2,4,3,0,0,124,small land,The Mountains,1,45.940609
6e32d13d,Bright_Brothers,8/7/1602 10:50 PM,6/16/1607 7:16 AM,,83.517921,6.863928,13.897538,131.76667,2.619332,0,,4,3,0,0,153,small land,,,17.387906
6e32d161,Bright_Brothers,12/24/1605 7:27 PM,7/15/1610 9:37 AM,0,,65.875884,85.489871,49.689128,22.195462,0,,4,3,0,0,94,small land,King's Landing,1,76.466126
6e32d18d,Bright_Brothers,6/17/1606 8:37 AM,7/10/1607 12:23 PM,,30.657214,1.643812,119.420102,96.649617,22.981325,1,3,4,3,0,0,158,small land,The Mountains,1,12.330814
6e32d1d5,Bright_Brothers,1/8/1606 6:44 PM,12/13/1611 6:12 PM,0,26.104943,,2.575876,18.766428,76.298811,,2,4,2,0,0,74,small land,The Mountains,1, 
6e32d1e0,Bright_Brothers,11/27/1602 8:10 PM,8/2/1607 11:29 PM,0,,57.353584,,58.665483,0.667264,,3,2,3,0,0,103,small land,Cursed Land,1,68.131393
6e32d1fd,Bright_Brothers,10/7/1601 10:12 PM,7/13/1612 5:59 PM,1,17.563821,69.249311,100.313341,,31.769246,0,2,4,2,1,0,91,no land,The Mountains,,80.172451
6e32d207,Bright_Brothers,1/10/1605 6:21 AM,4/6/1611 2:12 PM,0,,34.6664,68.363893,108.305396,25.9503,1,3,2,4,0,0,125,small land,King's Landing,1,44.995658
6e32d211,Bright_Brothers,1/14/1604 7:21 PM,9/15/1611 11:18 AM,0,15.833888,38.20836,41.829857,210.050564,49.232799,,2,2,3,0,1,122,huge land,Cursed Land,,49.072971
6e32d2c8,Bright_Brothers,6/23/1600 12:33 PM,7/18/1612 9:10 PM,0,7.466832,79.229707,54.590919,113.694189,46.790226,0,2,4,3,0,0,81,huge land,The Mountains,1,89.90548
6e32d2fe,Bright_Brothers,10/8/1604 11:21 AM,1/24/1612 6:43 PM,0,61.786126,92.328169,42.223186,76.025657,15.19046,0,2,3,2,0,1,68,small land,The Mountains,,103.292617
6e32d332,Bright_Brothers,11/16/1606 12:39 PM,7/4/1610 8:13 AM,0,48.045744,15.739833,28.893013,26.285377,31.671128,0,2,4,,0,0,144,small land,Servant's Premises,1,26.496121
6e32d376,Bright_Brothers,8/21/1600 7:20 PM,2/22/1607 3:20 AM,0,40.772276,10.174776,50.55027,73.242354,33.531993,0,2,3,3,0,0,150,small land,The Mountains,1,20.422493
6e32d3c9,Bright_Brothers,9/19/1603 4:44 PM,6/27/1608 8:10 AM,0,39.141937,129.421153,15.147982,163.73999,1.407018,0,4,2,2,0,0,31,small land,,1,140.252728
6e32d3fb,Bright_Brothers,12/12/1600 9:15 PM,10/12/1611 12:33 PM,0,57.318475,28.699573,16.876722,131.582671,51.998004,1,,2,,0,0,131,small land,Cursed Land,1,39.281787
6e32d474,Bright_Brothers,4/28/1601 10:19 AM,7/25/1612 10:40 PM,0,3.237094,18.661152,145.457085,163.725587,6.58766,0,4,,4,0,0,141,small land,The Mountains,1,29.610072
