House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32ced7,Masters_of_Stones,4/28/1603 12:52 AM,5/19/1610 9:42 PM,0,84.170405,15.776747,62.816373,51.870346,27.379252,0,,3,3,0,0,144,huge land,Servant's Premises,1,26.231919
6e32cefc,Masters_of_Stones,10/13/1603 3:34 AM,3/15/1608 7:24 PM,0,57.719253,67.341891,,119.177337,71.789958,0,4,3,4,0,0,93,small land,Servant's Premises,1,77.701631
6e32cf26,Masters_of_Stones,5/24/1600 7:36 PM,3/7/1607 2:42 PM,0,1.072398,25.097674,60.114222,143.926651,46.328111,0,2,4,4,0,0,135,small land,The Mountains,1,35.225807
6e32cfde,Masters_of_Stones,12/15/1600 3:34 AM,6/11/1607 8:10 AM,0,29.751994,35.790417,7.269568,170.610065,47.287544,0,4,,3,0,0,124,small land,The Mountains,1,46.502972
6e32cfec,Masters_of_Stones,5/23/1602 7:29 PM,8/11/1612 5:51 AM,1,49.458007,,77.048386,96.271542,5.063825,0,4,4,2,1,0,74,no land,The Mountains,, 
6e32d058,Masters_of_Stones,11/27/1602 7:38 PM,1/17/1611 8:18 PM,0,84.271118,131.952578,12.889536,90.780094,27.119841,,4,2,2,0,0,28,small land,Cursed Land,1,142.714658
6e32d09d,Masters_of_Stones,1/6/1606 12:26 PM,7/11/1612 3:22 AM,0,56.083481,44.952248,,83.564314,55.555218,0,2,2,3,0,0,115,huge land,Cursed Land,1,55.721486
6e32d0a5,Masters_of_Stones,10/21/1606 1:13 PM,8/18/1610 11:44 AM,0,16.052652,114.943975,,57.513601,55.961658,0,2,4,3,0,1,45,small land,The Mountains,,125.462999
6e32d0b3,Masters_of_Stones,3/20/1605 4:15 AM,1/21/1608 2:23 PM,1,10.192758,19.046904,26.831774,116.583447,0.559862,0,3,3,2,1,0,141,no land,The Mountains,,29.219474
6e32d0db,Masters_of_Stones,10/12/1603 4:30 PM,7/4/1610 10:56 PM,0,17.557024,9.794132,3.804804,289.066307,31.805639,,3,4,2,0,0,150,small land,The Mountains,1,19.957548
6e32d0ea,Masters_of_Stones,11/5/1604 1:11 PM,8/21/1611 8:14 AM,0,,107.57295,1.957051,172.678117,47.079764,0,4,3,2,0,0,52,small land,Cursed Land,1,118.327367
6e32d121,Masters_of_Stones,11/24/1602 9:25 AM,7/4/1607 2:59 PM,0,,58.617505,125.84741,93.674947,48.987611,0,2,2,3,0,0,101,small land,Servant's Premises,1,68.874332
6e32d125,Masters_of_Stones,10/25/1603 6:45 PM,4/15/1607 7:11 AM,0,98.589831,,9.687245,89.359935,64.708699,0,3,4,3,0,0,74,huge land,,, 
6e32d131,Masters_of_Stones,1/25/1605 1:48 PM,1/12/1611 5:19 AM,,32.004573,15.341088,,4.646544,3.000162,1,3,4,4,0,0,145,small land,The Mountains,1,26.049379
6e32d14f,Masters_of_Stones,3/20/1604 3:11 AM,4/26/1611 1:21 PM,,26.807444,4.281174,35.95796,69.046504,2.47087,0,2,4,4,0,,156,small land,The Mountains,1,14.669303
6e32d156,Masters_of_Stones,1/11/1606 10:13 AM,7/4/1607 7:15 AM,0,45.929026,49.960448,40.274508,201.710801,7.13938,0,2,2,4,0,0,110,small land,Cursed Land,,60.696604
6e32d1bd,Masters_of_Stones,11/13/1600 5:23 AM,1/10/1609 6:22 AM,1,0.967642,37.913322,55.13387,125.764754,22.112135,0,2,,2,1,0,122,no land,The Mountains,1,48.646387
6e32d1c2,Masters_of_Stones,9/5/1600 5:11 PM,2/7/1607 9:52 AM,,38.331768,64.241662,32.805559,32.773963,4.433727,0,2,2,3,0,0,96,small land,The Mountains,1,75.232566
6e32d1f5,Masters_of_Stones,11/26/1600 8:18 AM,7/9/1607 8:25 AM,0,5.79052,4.851918,49.781756,109.640569,17.841836,0,4,3,2,0,0,155,small land,Cursed Land,1,15.734019
6e32d24f,Masters_of_Stones,8/26/1601 7:41 AM,3/24/1611 8:27 AM,0,63.741342,40.532048,84.48988,242.519083,52.592362,,,3,3,0,1,119,small land,,2,50.598883
