House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32ced1,The_Greens,1/5/1603 2:46 AM,10/8/1610 5:18 AM,0,101.541256,0.519507,3.605055,81.449646,35.706541,0,3,2,2,0,0,159,huge land,The Mountains,1,10.85578
6e32ced3,The_Greens,1/25/1603 6:38 PM,1/12/1612 11:28 AM,0,48.601612,7.575922,32.236989,47.180399,72.111768,0,,2,4,0,0,152,small land,King's Landing,1,18.378692
6e32cefe,The_Greens,3/4/1602 9:37 PM,5/1/1612 12:30 PM,0,43.15605,66.593962,16.472091,62.472761,42.888742,1,3,3,4,0,0,93,small land,The Mountains,1,77.473677
6e32cf07,The_Greens,7/12/1606 10:47 AM,10/15/1612 8:42 AM,0,,20.748392,70.848219,69.096122,16.919434,0,4,4,4,0,0,139,small land,King's Landing,,31.432421
6e32cf13,The_Greens,10/18/1605 7:53 AM,12/23/1608 5:50 AM,0,85.472652,70.864401,13.310768,21.514952,3.079892,1,2,2,2,0,,89,small land,Servant's Premises,1,81.862921
6e32cf17,The_Greens,8/17/1603 12:33 AM,8/15/1610 4:24 PM,,18.69285,1.034696,68.243586,,55.267216,0,3,2,3,0,0,159,small land,Cursed Land,,11.447193
6e32cf2a,The_Greens,8/24/1606 1:33 PM,12/3/1607 7:51 AM,0,27.395888,16.519207,21.911712,36.647534,10.327582,,3,4,4,0,0,143,small land,,1,26.808392
6e32cf2f,The_Greens,11/1/1606 8:32 PM,2/13/1608 11:34 PM,1,83.884547,60.315918,74.440462,14.186489,3.659866,1,3,4,4,1,0,100,no land,The Mountains,1,70.653917
6e32cf32,The_Greens,10/25/1600 1:44 AM,8/2/1607 10:14 PM,0,14.335892,125.909425,13.760539,14.041083,14.833137,0,4,4,3,0,1,34,small land,Cursed Land,2,136.481039
6e32cf37,The_Greens,12/27/1603 10:29 PM,10/27/1609 3:57 AM,0,26.56988,8.87772,132.820614,78.734685,35.378385,0,3,2,4,0,0,151,small land,The Mountains,1,19.658196
6e32cf3d,The_Greens,7/6/1600 9:18 AM,3/4/1608 12:45 PM,0,31.795669,3.694051,45.184515,215.291212,7.53747,0,3,2,4,0,0,156,small land,The Mountains,1,13.72868
6e32cf3f,The_Greens,12/10/1606 10:54 PM,12/12/1607 6:12 PM,0,46.037313,87.711658,48.592949,206.456805,67.690842,0,2,2,4,0,0,72,small land,The Mountains,1,97.72198
6e32cf45,The_Greens,2/17/1601 12:43 AM,5/6/1609 3:10 PM,0,6.664954,6.412423,61.399993,118.533229,8.780965,0,3,3,4,0,0,154,small land,The Mountains,1,16.99148
6e32cf47,The_Greens,12/14/1604 3:29 AM,5/6/1611 4:40 AM,,12.540865,27.528001,132.196721,102.179942,41.822487,0,2,2,3,0,0,132,huge land,Cursed Land,1,37.882273
6e32cf51,The_Greens,3/4/1602 4:31 AM,11/18/1608 2:37 AM,0,,26.532328,12.94138,27.03828,27.094843,0,3,3,4,0,0,133,small land,Servant's Premises,1,36.682973
6e32cf67,The_Greens,2/5/1600 2:10 AM,5/14/1610 6:25 AM,0,119.1877,31.16518,2.913328,183.857944,24.478625,0,2,2,4,0,0,129,small land,,1,41.673909
6e32cf6d,The_Greens,6/13/1600 6:58 PM,2/23/1610 6:32 AM,0,63.861157,14.148026,23.545431,88.662829,36.686379,0,4,3,2,0,0,146,small land,Servant's Premises,1,24.819694
6e32cf73,The_Greens,9/6/1600 4:17 AM,5/5/1608 1:49 PM,0,18.839709,20.800243,129.162646,14.489745,51.55232,,3,2,2,0,0,139,small land,King's Landing,1,31.21515
6e32cf86,The_Greens,11/1/1600 7:35 AM,4/5/1610 8:22 PM,0,91.995895,12.801883,36.038488,65.958943,6.483024,1,2,2,2,0,0,147,small land,The Mountains,1,23.422529
6e32cf9f,The_Greens,1/11/1603 2:22 AM,1/19/1609 11:29 AM,0,,56.883775,2.550933,53.288066,9.764943,0,3,2,4,0,1,103,small land,The Mountains,2,67.637545
6e32cfc8,The_Greens,5/26/1600 2:12 AM,9/27/1609 7:32 PM,0,27.013595,13.134552,31.489187,44.880304,38.304237,0,2,,3,0,,147,small land,Servant's Premises,1,23.512504
6e32cfda,The_Greens,3/6/1600 2:43 PM,12/2/1610 5:12 AM,0,11.603696,26.137153,90.88417,122.798444,4.528548,1,3,3,2,0,0,134,small land,The Mountains,1,36.195189
6e32cfe1,The_Greens,1/18/1602 11:35 PM,5/8/1611 1:44 AM,0,34.191925,0.529202,35.085326,148.2714,12.546223,0,,2,,0,0,159,small land,The Mountains,1,11.51611
