House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32cf4b,The_Lannisters,5/14/1600 10:15 PM,2/15/1609 7:17 PM,0,26.910972,5.051018,95.267946,124.213778,42.63296,0,3,3,4,0,1,155,small land,Servant's Premises,,15.775998
6e32cf63,The_Lannisters,3/23/1605 3:37 PM,10/27/1608 5:54 PM,0,3.246707,98.765114,150.032514,205.231808,6.41729,0,3,3,,0,0,61,huge land,The Mountains,1,109.293587
6e32cfff,The_Lannisters,11/24/1605 11:39 AM,3/3/1612 11:41 PM,0,55.194201,106.867728,112.204225,7.331488,13.643248,0,,4,2,0,0,53,small land,Cursed Land,1,117.688478
6e32d020,The_Lannisters,8/19/1606 7:24 AM,10/20/1612 2:30 AM,0,116.232545,,135.95518,96.90175,75.913338,0,3,4,2,0,0,74,huge land,Servant's Premises,1, 
6e32d0af,The_Lannisters,8/20/1603 5:14 PM,12/3/1607 10:58 PM,0,110.908864,33.477492,48.564874,126.313421,45.312225,0,2,2,4,0,1,127,small land,The Mountains,2,44.072108
6e32d10f,The_Lannisters,10/26/1605 2:49 PM,9/24/1608 6:34 PM,0,51.148075,16.326244,109.613235,123.868738,11.439484,0,,2,2,0,0,144,small land,,1,26.442191
6e32d137,The_Lannisters,11/21/1602 7:37 PM,6/1/1608 11:12 PM,0,7.461255,58.07243,11.289543,5.271383,25.666285,0,4,2,4,0,0,102,small land,The Mountains,,68.598329
6e32d13a,The_Lannisters,6/8/1602 1:54 PM,5/16/1609 2:12 AM,0,50.214778,17.829403,60.338369,18.143537,24.141732,0,2,2,4,0,0,142,small land,King's Landing,1,27.913094
6e32d181,The_Lannisters,11/12/1605 5:13 PM,2/10/1607 2:38 AM,1,36.595197,103.053243,76.125837,237.894909,66.241648,1,2,4,4,1,0,57,no land,The Mountains,1,113.859546
6e32d228,The_Lannisters,12/5/1603 10:50 AM,8/6/1607 5:47 PM,0,,114.194064,133.570557,208.192054,53.074457,,3,4,3,0,0,46,small land,The Mountains,1,124.624814
6e32d230,The_Lannisters,7/4/1605 11:29 AM,4/27/1608 4:53 AM,1,106.853579,41.309625,41.388391,108.887623,18.756287,0,4,4,2,1,0,119,no land,Cursed Land,1,52.279563
6e32d26f,The_Lannisters,7/10/1600 11:47 PM,8/8/1611 2:58 AM,0,,21.937248,42.865579,21.490532,2.71755,1,3,2,2,0,1,138,huge land,The Mountains,,32.912788
6e32d293,The_Lannisters,7/12/1602 8:59 PM,5/11/1612 6:29 AM,,24.637051,78.196206,11.672968,255.88076,52.689577,,3,3,4,0,0,82,huge land,The Mountains,1,88.830586
6e32d369,The_Lannisters,2/7/1605 9:19 PM,7/16/1607 10:50 PM,0,117.483152,17.131191,30.997456,44.246945,53.860771,0,2,2,3,0,0,143,small land,The Mountains,1,27.573613
6e32d37c,The_Lannisters,3/20/1604 10:13 AM,10/11/1608 9:49 AM,,14.985584,13.685564,135.334422,29.612606,3.020316,1,4,3,3,0,1,146,huge land,King's Landing,2,24.22428
6e32d37f,The_Lannisters,6/17/1601 12:28 PM,4/10/1612 12:58 AM,1,4.450618,67.988677,131.023051,30.234348,21.602362,0,4,3,4,1,0,92,no land,Servant's Premises,1,78.924895
6e32d3c4,The_Lannisters,8/19/1604 2:12 AM,12/14/1610 10:10 PM,1,,1.915769,122.947722,61.654786,13.754069,,2,2,3,1,0,158,no land,King's Landing,,12.694277
6e32d43c,The_Lannisters,2/8/1604 11:21 PM,1/2/1611 11:20 AM,0,2.691707,53.544587,38.146522,58.884537,56.383395,0,2,3,4,0,1,106,small land,The Mountains,,64.205107
6e32d45b,The_Lannisters,12/28/1602 2:21 AM,10/12/1612 12:59 PM,0,41.02289,54.56546,46.579178,95.139166,10.562068,0,4,3,4,0,0,105,huge land,The Mountains,1,65.535891
6e32d4b6,The_Lannisters,12/20/1603 2:52 AM,1/20/1612 11:11 PM,0,4.796936,,116.446259,246.927413,0.981445,0,4,2,4,0,0,74,huge land,The Mountains,1, 
6e32d4e7,The_Lannisters,2/18/1605 11:11 PM,10/25/1611 12:54 PM,0,27.84949,12.291261,25.359079,84.238978,35.922373,0,4,4,2,0,0,148,small land,Cursed Land,1,22.633008
6e32d506,The_Lannisters,11/16/1602 6:35 AM,9/22/1611 1:28 PM,0,,14.280275,6.322054,36.582445,0.997915,,2,3,4,0,0,146,huge land,Cursed Land,1,24.771023
6e32d51a,The_Lannisters,10/20/1605 12:40 AM,3/2/1612 1:31 AM,0,14.747926,75.533444,122.838542,118.512619,88.252275,0,2,2,3,0,0,84,small land,Cursed Land,1,85.993143
6e32d59d,The_Lannisters,7/11/1600 7:10 AM,10/20/1612 5:47 PM,0,55.99921,69.945789,34.936662,22.861755,43.560268,0,3,4,,0,0,90,small land,The Mountains,1,80.069753
6e32d67c,The_Lannisters,5/10/1605 4:52 PM,10/14/1610 11:58 PM,,24.193001,57.49343,39.921819,215.000957,47.424962,1,2,3,3,0,0,103,small land,The Mountains,1,68.061396
6e32d6bc,The_Lannisters,6/21/1605 4:52 AM,5/19/1607 7:44 PM,0,15.588402,8.626605,37.989506,7.25803,69.651327,0,2,2,4,0,0,151,small land,Cursed Land,1,19.333749
6e32d6cd,The_Lannisters,1/23/1602 6:26 PM,8/3/1609 9:12 PM,0,45.53656,68.644931,43.686718,53.254211,21.101053,0,,2,,0,0,91,small land,The Mountains,1,79.242311
6e32d7c1,The_Lannisters,1/21/1601 8:10 PM,5/9/1609 10:49 AM,0,22.743582,79.633481,75.881391,141.181546,16.322175,0,4,4,3,0,0,80,small land,The Mountains,1,89.710856
6e32d7d2,The_Lannisters,4/8/1603 2:25 AM,12/23/1609 1:10 PM,0,81.570308,34.087951,61.094047,141.372681,27.566931,1,4,3,4,0,1,126,small land,The Mountains,2,44.610888
6e32d874,The_Lannisters,1/18/1606 8:29 AM,2/10/1607 3:21 PM,0,2.651019,23.555994,56.144471,155.818078,17.045216,1,3,4,4,0,0,136,small land,Cursed Land,1,33.613932
6e32d8a8,The_Lannisters,5/20/1602 11:26 PM,9/27/1611 3:51 AM,0,26.400855,42.292762,2.455109,47.911389,9.151318,0,4,3,4,0,1,118,huge land,,2,53.135147
6e32d8ed,The_Lannisters,9/25/1600 12:35 AM,10/28/1611 4:43 PM,0,126.49799,21.985977,26.882244,112.433773,26.592235,0,,3,4,0,0,138,small land,King's Landing,1,32.731869
