House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32cf35,The_Ollivers,8/3/1602 8:19 AM,5/24/1607 4:46 PM,0,,14.771254,47.208782,143.697581,57.998381,0,,4,4,0,0,145,small land,The Mountains,1,25.249336
6e32cf57,The_Ollivers,9/7/1605 12:12 PM,1/28/1610 2:53 PM,0,24.658268,15.220463,81.003364,234.799022,20.10387,0,4,4,3,0,1,145,huge land,The Mountains,2,25.854943
6e32cf5b,The_Ollivers,9/13/1603 1:47 PM,8/12/1610 7:29 PM,1,1.122904,12.733926,18.667091,50.964912,4.094995,,2,,3,1,0,147,no land,The Mountains,,23.563624
6e32cfc0,The_Ollivers,12/2/1603 3:31 AM,5/19/1610 6:12 PM,0,3.532019,49.64613,33.39117,74.198027,18.551798,0,,4,3,0,0,110,huge land,The Mountains,1,60.196272
6e32cfc5,The_Ollivers,2/1/1600 11:14 AM,7/27/1611 7:35 PM,0,20.203496,99.86107,59.873769,190.421617,1.672798,1,2,3,4,0,0,60,small land,The Mountains,1,110.478163
6e32cfee,The_Ollivers,10/24/1605 7:37 PM,3/5/1611 12:59 AM,0,20.487808,,29.498543,98.529817,51.114954,0,3,2,3,0,0,74,small land,King's Landing,1, 
6e32d030,The_Ollivers,11/18/1606 4:50 AM,2/19/1607 12:29 AM,1,44.74755,112.540505,33.67063,90.308479,3.353507,0,4,2,2,1,,47,no land,King's Landing,1,122.855294
6e32d081,The_Ollivers,8/13/1604 8:26 AM,9/25/1607 9:13 PM,0,35.76766,75.617038,6.54546,11.762571,8.325646,0,,2,,0,1,84,huge land,Cursed Land,,85.737595
6e32d088,The_Ollivers,1/22/1603 1:17 PM,10/9/1611 11:12 PM,0,3.919419,10.127855,1.944099,95.8239,0.297842,0,3,4,3,0,0,150,huge land,The Mountains,1,21.102148
6e32d0e1,The_Ollivers,5/25/1605 4:39 PM,10/3/1609 11:35 PM,0,75.182362,80.598167,43.631966,82.331429,20.256665,0,2,2,4,0,0,79,small land,The Mountains,1,91.370785
6e32d101,The_Ollivers,5/14/1606 4:16 AM,10/5/1612 9:53 PM,0,81.893052,7.778529,10.544569,3.492928,24.076,0,4,3,2,0,0,152,small land,Cursed Land,1,18.529869
6e32d11c,The_Ollivers,7/14/1601 6:15 AM,7/23/1611 11:38 AM,0,5.594051,68.863036,92.389066,218.603621,47.287553,,4,2,4,0,0,91,small land,King's Landing,1,78.942088
6e32d149,The_Ollivers,2/24/1602 12:29 PM,10/4/1607 7:45 PM,0,5.074924,111.004839,60.293557,150.27444,45.820457,0,,3,2,0,0,49,small land,The Mountains,1,121.270083
6e32d1a0,The_Ollivers,3/12/1601 3:35 AM,2/6/1612 10:56 PM,0,29.549156,35.580639,48.187651,73.680468,69.740814,0,3,3,2,0,0,124,small land,Cursed Land,1,45.931375
6e32d1b3,The_Ollivers,2/27/1600 6:56 PM,1/20/1610 10:49 PM,1,134.790575,38.687027,84.092876,47.104734,59.806036,0,4,2,4,1,0,121,no land,,1,48.827613
6e32d262,The_Ollivers,2/8/1600 8:44 PM,5/20/1609 6:33 PM,0,63.286578,79.597544,28.506829,33.590181,52.613542,0,4,3,2,0,1,80,huge land,The Mountains,2,90.34839
6e32d306,The_Ollivers,10/9/1602 1:31 AM,4/15/1612 4:28 AM,0,68.280382,91.01726,126.191279,277.97015,9.596804,0,2,3,4,0,0,69,small land,Servant's Premises,1,101.967563
6e32d35a,The_Ollivers,11/23/1604 1:58 PM,5/16/1609 1:31 PM,0,56.327698,4.498642,112.967905,167.450747,34.305844,0,3,4,2,0,1,156,huge land,Cursed Land,2,15.37254
6e32d3b6,The_Ollivers,8/15/1605 1:35 PM,10/22/1607 1:17 PM,0,34.414876,38.213276,,296.342437,18.474502,0,3,3,2,0,0,122,small land,Cursed Land,1,48.32586
6e32d3e2,The_Ollivers,12/7/1605 12:57 AM,3/22/1607 9:15 AM,0,,65.782432,85.993573,138.281779,67.132266,0,3,,3,0,0,94,small land,The Mountains,1,75.992802
6e32d3ff,The_Ollivers,1/3/1601 1:59 PM,10/9/1608 10:48 AM,0,48.446372,0.999357,27.201308,66.803784,34.646532,0,3,4,3,0,0,159,small land,King's Landing,1,11.598298
6e32d441,The_Ollivers,5/13/1602 3:39 AM,8/11/1608 5:28 PM,0,37.011257,36.513413,20.312751,,17.513959,1,3,,4,0,0,123,small land,Servant's Premises,,46.515382
6e32d486,The_Ollivers,9/10/1602 10:58 AM,8/18/1607 5:47 PM,0,102.661126,88.327066,46.225489,10.479103,1.675745,0,2,3,4,0,0,72,small land,The Mountains,1,99.246532
6e32d490,The_Ollivers,2/15/1603 1:41 PM,4/5/1610 8:34 AM,0,20.51413,18.544686,11.037641,131.223693,34.832095,0,,,4,0,0,141,small land,,1,28.754393
6e32d4aa,The_Ollivers,9/21/1605 2:50 PM,1/20/1610 7:58 AM,1,30.507504,20.731993,10.421607,218.841758,4.161917,0,2,2,3,1,0,139,no land,King's Landing,,31.511517
6e32d53b,The_Ollivers,12/6/1605 7:41 AM,4/21/1612 12:44 AM,0,46.924381,,71.596491,110.794245,9.573808,0,4,2,4,0,0,74,huge land,Cursed Land,1, 
6e32d5ac,The_Ollivers,11/12/1600 8:32 PM,11/24/1612 11:22 AM,,12.516147,,13.475097,,4.283313,0,,3,4,0,0,74,small land,The Mountains,1, 
6e32d600,The_Ollivers,4/15/1602 9:31 AM,11/8/1608 10:37 AM,,42.169901,54.160401,42.192027,194.173753,48.075667,0,2,3,3,0,0,106,small land,Servant's Premises,1,64.886661
6e32d61c,The_Ollivers,7/24/1600 8:25 PM,5/6/1609 6:19 PM,0,39.468953,17.141992,51.826156,128.723691,19.984579,0,2,4,3,0,0,143,small land,The Mountains,1,28.091709
6e32d669,The_Ollivers,7/5/1602 12:56 PM,11/18/1612 4:41 PM,0,,74.578925,45.876577,127.757657,54.26333,0,2,2,2,0,0,85,small land,,,85.136743
