House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32ceed,The_Overlords,4/28/1601 6:26 AM,8/5/1612 5:47 PM,0,23.614598,24.762207,84.008876,,7.69931,0,4,2,3,0,0,135,small land,The Mountains,1,35.537406
6e32cf0e,The_Overlords,2/11/1606 1:48 PM,3/23/1609 4:29 AM,0,60.198424,65.509891,108.357045,179.275253,52.220719,0,2,3,3,0,0,94,huge land,The Mountains,1,76.231255
6e32cf1a,The_Overlords,5/12/1605 4:32 AM,6/28/1612 4:31 AM,0,11.585549,54.728789,13.620052,12.494618,38.447667,0,4,2,3,0,0,105,small land,The Mountains,,65.333281
6e32cf92,The_Overlords,7/5/1601 12:54 AM,8/2/1608 1:35 AM,,11.38196,23.760392,32.981737,67.083665,21.011419,0,,2,,0,1,136,small land,The Mountains,2,34.292892
6e32cfd3,The_Overlords,12/28/1600 10:42 PM,5/4/1612 4:12 PM,0,0.550172,52.901633,114.410861,,20.379008,0,2,3,4,0,0,107,small land,The Mountains,1,63.465074
6e32d050,The_Overlords,2/28/1600 11:28 AM,12/25/1610 9:33 PM,0,144.839853,3.916571,13.078234,37.845593,25.428054,0,4,4,3,0,0,156,small land,The Mountains,1,14.369894
6e32d052,The_Overlords,2/11/1601 12:30 AM,4/25/1611 9:57 AM,0,118.651736,32.700903,56.862286,5.995957,39.460784,,,2,2,0,0,127,huge land,King's Landing,1,42.837121
6e32d05d,The_Overlords,2/8/1606 12:20 AM,7/11/1608 2:39 AM,1,,59.517323,41.629638,91.33016,51.924313,1,2,2,2,1,0,100,no land,King's Landing,1,69.714655
6e32d168,The_Overlords,6/27/1602 8:46 AM,10/18/1610 10:46 AM,0,11.528964,70.81499,21.996327,107.330487,56.774188,0,2,3,,0,0,89,small land,The Mountains,1,81.358144
6e32d198,The_Overlords,11/3/1604 12:46 PM,4/9/1609 7:34 PM,1,61.956492,86.22197,,94.953504,0.182339,0,4,2,3,1,0,74,no land,The Mountains,1,97.134766
6e32d1a6,The_Overlords,5/17/1601 8:38 PM,2/1/1609 12:36 AM,0,19.811479,128.836428,25.903053,159.313637,39.037751,0,4,4,2,0,0,31,huge land,King's Landing,1,138.987432
6e32d247,The_Overlords,7/9/1600 12:30 PM,1/6/1610 11:20 AM,1,25.238983,38.860171,125.084861,16.405043,67.46579,1,2,3,4,1,,121,no land,Cursed Land,1,49.476535
6e32d251,The_Overlords,8/6/1604 6:57 AM,3/18/1607 10:20 AM,0,106.051874,50.450694,45.642858,64.315899,32.062269,0,2,3,2,0,0,110,small land,King's Landing,1,60.701051
6e32d28f,The_Overlords,11/10/1604 11:56 PM,7/11/1609 9:59 PM,,,6.867749,90.900064,95.82465,92.210772,0,2,3,4,0,0,153,huge land,The Mountains,1,17.471893
6e32d2bb,The_Overlords,4/1/1606 6:30 PM,9/14/1607 12:45 AM,0,24.749239,57.295668,15.389556,55.354765,38.950286,0,2,3,3,0,1,103,small land,Servant's Premises,2,67.967217
6e32d2c1,The_Overlords,8/14/1602 1:29 PM,2/19/1610 1:30 AM,0,120.733528,11.597347,146.396552,110.838136,16.907109,1,4,4,4,0,1,148,huge land,King's Landing,2,22.549198
6e32d312,The_Overlords,10/14/1604 4:49 AM,12/3/1612 6:56 PM,,12.93562,69.02744,3.285966,201.662452,42.016971,0,,3,3,0,0,91,huge land,Cursed Land,1,79.93333
6e32d374,The_Overlords,12/19/1604 9:56 PM,10/28/1610 5:39 PM,0,25.10167,29.613494,55.024261,196.324466,69.978853,0,3,4,2,0,0,130,small land,Servant's Premises,1,39.913958
6e32d39b,The_Overlords,10/27/1600 6:44 AM,2/16/1608 4:16 PM,0,34.178862,65.14769,58.065483,182.937118,88.520037,0,4,2,2,0,1,95,small land,Servant's Premises,,75.936031
