House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32cec4,The_Starks,8/23/1600 12:25 AM,5/2/1612 10:32 PM,1,16.254871,26.882222,34.145238,101.052598,53.249336,0,2,4,,1,0,133,no land,The Mountains,,37.249456
6e32cedf,The_Starks,9/7/1601 12:14 AM,10/1/1609 8:39 AM,0,11.938817,2.738666,5.58977,12.033816,17.666228,1,3,2,2,0,0,157,small land,Servant's Premises,,13.151035
6e32cef9,The_Starks,4/15/1601 1:40 PM,5/10/1611 9:49 PM,0,35.488288,68.371189,44.62349,20.89483,37.27244,0,,4,2,0,1,92,small land,Cursed Land,2,78.519339
6e32cf01,The_Starks,2/27/1603 6:55 PM,3/9/1607 2:12 AM,0,81.58993,52.209955,2.228096,125.088833,10.558469,1,4,2,2,0,0,108,small land,,1,62.646237
6e32cfca,The_Starks,10/20/1600 6:40 AM,7/24/1607 6:37 AM,1,4.102159,24.909507,38.478102,145.198089,55.022168,0,,4,4,1,0,135,no land,King's Landing,,35.117409
6e32cfcf,The_Starks,11/18/1600 4:45 AM,12/7/1609 7:46 AM,0,54.397619,34.328906,15.621175,43.039403,13.210756,0,3,4,3,0,0,126,small land,The Mountains,,44.565672
6e32d00c,The_Starks,1/13/1601 7:32 AM,2/14/1609 10:58 PM,0,28.194885,8.090356,57.049838,121.737656,10.72477,0,3,2,2,0,1,152,small land,The Mountains,2,18.568358
6e32d064,The_Starks,6/5/1600 12:37 PM,2/6/1608 8:49 AM,0,47.443566,145.773817,20.186212,122.99707,17.225251,0,2,2,3,0,0,14,huge land,The Mountains,,156.081031
6e32d07c,The_Starks,7/21/1603 8:28 AM,3/3/1608 7:48 AM,0,55.642861,92.817319,1.64982,5.893055,17.413551,0,,3,3,0,0,67,small land,Servant's Premises,1,103.239226
6e32d0c7,The_Starks,6/22/1604 10:13 PM,10/1/1607 5:58 PM,0,17.820094,10.760071,10.996215,45.620881,76.960407,1,3,3,3,0,0,149,huge land,Cursed Land,,21.113511
6e32d114,The_Starks,2/13/1603 7:30 PM,12/18/1608 2:45 PM,0,44.591963,21.443521,61.351007,18.89276,6.320174,0,4,2,4,0,0,139,huge land,,,31.797166
6e32d143,The_Starks,3/23/1600 1:35 AM,1/26/1610 7:54 AM,0,60.789297,33.649516,6.306768,86.45729,8.582878,0,3,3,4,0,0,126,huge land,The Mountains,1,43.752244
6e32d15f,The_Starks,6/6/1605 11:18 PM,8/6/1612 12:58 AM,0,65.907731,41.135305,11.430571,45.025304,36.723978,0,2,3,,0,1,119,small land,,2,52.03537
6e32d1b0,The_Starks,10/4/1606 3:32 PM,6/3/1612 6:20 PM,0,76.351975,11.637982,4.893752,142.157438,68.674643,0,3,3,3,0,0,148,small land,The Mountains,1,22.197212
6e32d1b9,The_Starks,1/5/1602 2:11 PM,2/22/1607 7:53 AM,,41.217143,25.291758,105.639904,194.571959,61.092572,,4,4,3,0,0,135,small land,King's Landing,1,36.154993
6e32d1d0,The_Starks,2/6/1606 6:15 AM,6/5/1612 11:23 PM,0,0.596625,66.276391,54.010653,24.849645,67.729006,0,2,2,3,0,0,94,small land,Servant's Premises,1,77.148306
6e32d249,The_Starks,5/18/1604 4:38 AM,10/15/1611 8:21 PM,0,5.572133,17.375241,,,12.854254,0,2,4,3,0,0,143,small land,The Mountains,1,27.755188
6e32d283,The_Starks,12/24/1603 12:30 AM,10/13/1611 8:28 AM,,,3.019368,6.553303,80.152461,36.024665,0,,4,2,0,0,157,huge land,Cursed Land,1,13.334383
6e32d2d0,The_Starks,5/8/1602 3:58 PM,4/8/1610 10:51 PM,0,31.557733,20.547193,46.678794,83.853974,35.871728,0,2,2,2,0,0,139,huge land,The Mountains,1,30.774718
