House ID,Builder Name,Date Built,Date Priced,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,land,Location,Holy tree,Knight's house
6e32ced5,Wood_Priests,3/12/1600 1:19 AM,10/26/1607 9:54 PM,0,32.624227,1.95597,88.485147,77.692256,33.929217,0,3,2,2,0,0,158,huge land,Servant's Premises,1,12.389964
6e32cee4,Wood_Priests,12/3/1601 8:59 PM,8/5/1607 11:20 PM,0,13.986232,0.212412,20.485516,138.362509,78.94806,0,4,3,2,0,0,160,huge land,The Mountains,1,10.794902
6e32cef3,Wood_Priests,1/14/1602 4:22 AM,8/27/1611 9:25 PM,0,,23.338276,126.491446,128.876997,0.630053,0,3,4,2,0,0,137,small land,Cursed Land,1,34.143765
6e32d003,Wood_Priests,2/1/1606 12:34 PM,1/16/1608 9:28 AM,,,84.490468,60.125968,47.483615,57.461829,0,2,2,4,0,1,76,huge land,,2,95.46071
6e32d035,Wood_Priests,10/25/1606 9:33 AM,6/26/1612 8:27 AM,0,42.73277,8.168785,138.642448,44.588025,66.347237,0,4,3,3,0,1,152,small land,The Mountains,2,18.370135
6e32d06d,Wood_Priests,7/15/1603 5:26 PM,8/5/1608 8:32 PM,0,,52.160561,21.63996,137.605033,45.171562,0,2,2,2,0,0,108,huge land,King's Landing,1,62.337068
6e32d09b,Wood_Priests,7/18/1600 1:29 PM,1/25/1610 12:47 AM,,6.133424,9.548414,62.14781,164.368723,51.074174,0,2,2,4,0,0,150,small land,Cursed Land,,19.852732
6e32d0a9,Wood_Priests,12/13/1601 1:29 AM,7/9/1611 8:33 AM,0,34.516962,12.362987,51.752341,221.167684,23.389574,0,3,4,4,0,0,148,small land,Cursed Land,,23.207646
6e32d17d,Wood_Priests,3/27/1604 8:13 PM,8/1/1612 10:25 AM,0,52.818865,58.917994,,,38.749152,1,2,4,4,0,0,101,small land,Cursed Land,1,69.27917
6e32d19a,Wood_Priests,12/28/1603 7:44 PM,8/12/1607 12:28 AM,0,4.08862,18.35804,35.164609,97.013636,72.149977,0,3,3,,0,0,142,small land,The Mountains,1,28.407371
6e32d1e3,Wood_Priests,3/18/1600 6:26 AM,9/2/1608 11:13 AM,,,28.133654,110.38705,155.675028,75.893477,1,2,2,2,0,,132,huge land,The Mountains,1,38.995417
6e32d21d,Wood_Priests,12/15/1604 6:54 PM,10/3/1608 12:31 PM,0,26.439016,21.152981,12.609816,152.645551,21.630427,1,2,2,4,0,0,139,small land,The Mountains,1,31.955509
6e32d269,Wood_Priests,4/19/1604 1:51 PM,12/14/1612 3:17 PM,0,18.787588,21.7659,,81.202202,27.218572,0,3,3,3,0,0,138,small land,Cursed Land,,32.449107
6e32d275,Wood_Priests,2/7/1600 10:18 PM,7/24/1607 6:51 PM,0,79.121346,30.069478,35.058883,65.446763,13.301845,0,3,3,3,0,,130,small land,The Mountains,1,40.269542
6e32d27b,Wood_Priests,7/25/1600 5:31 AM,4/3/1608 6:50 PM,0,155.302724,46.140427,3.804466,51.617393,23.031992,1,3,2,4,0,0,114,small land,Servant's Premises,1,56.996501
6e32d29d,Wood_Priests,6/19/1600 2:21 AM,9/4/1608 4:42 AM,0,90.291618,63.684995,86.769286,112.12868,50.914717,0,2,2,3,0,1,96,huge land,Servant's Premises,2,74.665942
6e32d2a0,Wood_Priests,8/3/1606 10:21 AM,8/3/1610 1:30 AM,0,19.01135,68.471378,73.262602,145.073613,11.284554,0,4,4,2,0,0,92,small land,King's Landing,1,79.325718
6e32d2ad,Wood_Priests,12/12/1606 9:39 PM,8/17/1610 9:37 PM,0,40.716963,6.492564,22.332631,106.545748,5.673422,0,3,2,3,0,0,154,huge land,The Mountains,,17.315056
6e32d2c5,Wood_Priests,3/24/1602 12:47 AM,2/18/1608 10:42 AM,0,7.838669,8.9473,1.339341,123.740967,50.107181,0,2,4,4,0,1,151,small land,The Mountains,2,19.729401
6e32d2eb,Wood_Priests,12/19/1601 1:13 PM,8/25/1607 8:58 AM,0,,58.149003,17.914025,20.636946,30.103003,0,4,4,2,0,0,102,small land,The Mountains,1,69.059271
6e32d397,Wood_Priests,3/8/1600 7:23 PM,4/15/1612 7:15 PM,0,,62.227678,41.576516,7.502226,24.321214,0,2,4,4,0,0,98,small land,The Mountains,1,72.620366
6e32d3d3,Wood_Priests,6/22/1605 4:10 AM,12/19/1610 5:27 AM,0,86.626805,52.287334,,175.95497,85.48453,0,4,2,2,0,0,108,small land,The Mountains,,62.343727
6e32d3d9,Wood_Priests,3/22/1600 6:51 AM,1/6/1612 8:28 PM,0,5.516341,8.441605,150.576814,182.077694,44.097749,0,4,4,3,0,0,152,small land,The Mountains,1,19.222046
6e32d42b,Wood_Priests,1/5/1603 10:31 PM,12/4/1611 7:40 PM,0,11.205839,,,66.857477,55.146329,0,4,2,2,0,,74,small land,The Mountains,1, 
6e32d4ca,Wood_Priests,6/26/1606 4:11 AM,9/6/1609 5:36 AM,0,50.427544,12.311291,77.875815,147.708899,4.188586,0,2,3,2,0,0,148,small land,The Mountains,1,23.246633
6e32d4d0,Wood_Priests,3/5/1606 11:28 AM,7/12/1611 6:33 PM,0,,37.985187,77.819581,157.837482,54.402136,0,3,3,,0,0,122,small land,The Mountains,1,47.998161
6e32d4fe,Wood_Priests,2/5/1600 9:20 PM,8/7/1611 8:25 AM,,45.645507,24.801074,15.248612,182.68961,36.427721,0,2,2,4,0,0,135,small land,Servant's Premises,,35.226206
6e32d535,Wood_Priests,3/21/1603 5:37 AM,12/1/1608 8:36 AM,1,128.497793,56.378444,,86.815717,9.53455,0,2,4,4,1,0,104,no land,The Mountains,1,66.960326
6e32d552,Wood_Priests,1/14/1605 12:15 AM,9/9/1609 2:25 AM,,5.756294,99.59704,65.631939,36.934096,7.18929,0,3,2,4,0,0,60,small land,Cursed Land,1,109.764134
6e32d55d,Wood_Priests,3/16/1605 3:29 PM,1/28/1609 9:31 PM,0,67.517397,9.900695,104.146858,100.402789,1.7267,0,4,4,2,0,0,150,small land,King's Landing,1,19.999984
6e32d58f,Wood_Priests,7/26/1601 6:27 AM,11/9/1608 11:26 PM,0,69.809032,0.475364,25.561542,37.016979,90.843875,0,2,3,3,0,0,160,small land,Servant's Premises,,10.538304
6e32d5e1,Wood_Priests,9/8/1602 4:11 PM,8/24/1610 8:57 PM,0,54.77161,29.208021,67.680206,167.519888,42.29724,0,3,4,4,0,0,131,huge land,Cursed Land,1,39.301059
6e32d611,Wood_Priests,9/14/1600 9:23 PM,5/20/1608 4:50 PM,0,10.233809,59.335873,25.856406,20.094269,17.407448,0,3,4,4,0,0,101,small land,King's Landing,,69.877625
6e32d690,Wood_Priests,5/12/1602 2:37 PM,7/22/1609 9:10 PM,0,21.287549,76.683082,,96.647935,29.522435,,3,,4,0,0,83,huge land,Cursed Land,1,87.589485
6e32d6b6,Wood_Priests,7/16/1601 8:45 AM,12/12/1610 8:43 PM,0,74.389066,19.89654,40.333452,92.802186,65.78156,0,,2,2,0,,140,small land,The Mountains,1,30.491071
6e32d6c8,Wood_Priests,12/22/1602 10:58 PM,1/11/1612 12:34 AM,,21.966556,50.89103,48.567311,213.452066,15.11293,1,3,4,3,0,0,109,small land,,1,61.04736
6e32d6e6,Wood_Priests,2/1/1605 4:52 PM,10/1/1612 12:32 PM,1,139.037816,114.934687,12.1612,7.595812,15.411638,0,4,3,3,1,0,45,no land,Servant's Premises,1,125.32471
6e32d71a,Wood_Priests,3/24/1600 3:20 PM,3/16/1612 6:39 AM,0,,15.861645,59.53707,103.846541,61.912237,,2,4,3,0,1,144,huge land,The Mountains,2,26.062257
6e32d72b,Wood_Priests,12/26/1605 10:19 AM,12/5/1610 8:29 AM,0,28.254022,,,40.297677,59.631269,0,3,2,4,0,0,74,small land,King's Landing,1, 
6e32d758,Wood_Priests,5/1/1604 11:10 AM,7/25/1607 5:13 AM,0,8.576094,55.674131,29.189992,164.155789,3.705821,0,4,2,4,0,1,104,huge land,The Mountains,2,65.95383
6e32d78a,Wood_Priests,5/9/1602 11:18 PM,8/6/1611 7:46 AM,0,38.284104,39.751638,75.602668,38.246062,24.37924,0,2,4,3,0,0,120,small land,The Mountains,1,49.811641
6e32d798,Wood_Priests,10/8/1601 2:33 PM,10/7/1610 8:43 AM,0,97.517365,38.143796,22.596347,52.459159,18.350144,1,,,4,0,0,122,small land,The Mountains,1,48.237464
6e32d7b8,Wood_Priests,4/27/1602 5:41 PM,8/3/1609 9:46 AM,0,0.401073,3.609288,5.344636,112.042485,60.414815,0,3,3,4,0,0,156,small land,The Mountains,1,14.479181
6e32d7cf,Wood_Priests,2/6/1603 2:24 PM,5/10/1607 1:44 PM,0,69.511168,104.502956,112.636644,125.886757,4.055463,0,3,2,3,0,0,55,huge land,King's Landing,1,114.737593
6e32d8e9,Wood_Priests,4/26/1605 6:37 PM,4/23/1612 12:24 AM,,24.538135,4.059229,136.834843,64.063453,81.8533,0,4,3,2,0,0,156,small land,Cursed Land,1,14.77585
6e32d92c,Wood_Priests,10/2/1605 9:36 PM,6/3/1607 7:18 PM,,20.440096,22.516637,0.490317,160.611977,40.763736,0,,2,3,0,0,137,huge land,The Mountains,1,32.783249
6e32d97b,Wood_Priests,9/1/1603 10:17 PM,3/25/1612 9:22 PM,0,11.504165,1.682629,12.567198,136.053715,28.212848,0,,4,3,0,0,158,small land,Servant's Premises,1,12.13042
6e32d9bb,Wood_Priests,8/4/1601 5:18 PM,8/17/1610 7:19 PM,0,108.065507,80.0527,117.675863,64.724292,21.677925,0,,2,4,0,0,80,small land,Cursed Land,,90.81908
6e32da00,Wood_Priests,6/20/1604 8:16 PM,5/22/1608 10:26 PM,0,5.394105,83.567544,49.647033,53.656341,23.100858,,3,2,2,0,0,76,small land,Servant's Premises,1,93.655581
6e32da1b,Wood_Priests,1/15/1601 7:36 PM,12/27/1609 11:28 AM,0,25.530188,1.419402,0.482424,23.223836,8.350184,0,3,2,2,0,,159,small land,The Mountains,1,11.575171
